2026-03-10 14:05:36.779 [info] Reading sessions from keychain...
2026-03-11 13:33:13.882 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:33:22.508 [info] Getting sessions for read:user,repo,user:email...
2026-03-11 13:33:22.508 [info] Got 0 sessions for read:user,repo,user:email...
2026-03-11 13:33:23.881 [info] Getting sessions for all scopes...
2026-03-11 13:33:23.881 [info] Got 1 sessions for ...
2026-03-11 13:33:23.881 [info] Getting sessions for all scopes...
2026-03-11 13:33:23.881 [info] Got 1 sessions for ...
2026-03-11 13:33:24.128 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:33:24.128 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:33:44.151 [info] FetcherService: Electron fetch failed with error: net::ERR_TIMED_OUT
2026-03-11 13:33:54.497 [info] FetcherService: Node fetch failed with error: fetch failed
2026-03-11 13:33:54.794 [info] Getting sessions for all scopes...
2026-03-11 13:33:54.794 [info] Got 1 sessions for ...
2026-03-11 13:33:54.798 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:33:54.798 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:37:19.184 [info] Getting sessions for all scopes...
2026-03-11 13:37:19.184 [info] Got 1 sessions for ...
2026-03-11 13:37:19.185 [info] Getting sessions for all scopes...
2026-03-11 13:37:19.185 [info] Got 1 sessions for ...
2026-03-11 13:37:42.012 [info] Getting sessions for all scopes...
2026-03-11 13:37:42.012 [info] Got 1 sessions for ...
2026-03-11 13:37:42.014 [info] Getting sessions for all scopes...
2026-03-11 13:37:42.014 [info] Got 1 sessions for ...
2026-03-11 13:37:42.869 [info] Getting sessions for all scopes...
2026-03-11 13:37:42.869 [info] Got 1 sessions for ...
2026-03-11 13:37:42.871 [info] Getting sessions for all scopes...
2026-03-11 13:37:42.871 [info] Got 1 sessions for ...
2026-03-11 13:37:53.213 [info] Getting sessions for all scopes...
2026-03-11 13:37:53.213 [info] Got 1 sessions for ...
2026-03-11 13:37:53.215 [info] Getting sessions for all scopes...
2026-03-11 13:37:53.215 [info] Got 1 sessions for ...
2026-03-11 13:40:00.629 [info] Getting sessions for all scopes...
2026-03-11 13:40:00.629 [info] Got 1 sessions for ...
2026-03-11 13:40:00.631 [info] Getting sessions for all scopes...
2026-03-11 13:40:00.631 [info] Got 1 sessions for ...
2026-03-11 13:42:34.950 [info] Getting sessions for all scopes...
2026-03-11 13:42:34.950 [info] Got 1 sessions for ...
2026-03-11 13:42:34.952 [info] Getting sessions for all scopes...
2026-03-11 13:42:34.952 [info] Got 1 sessions for ...
2026-03-11 13:42:37.589 [info] Getting sessions for all scopes...
2026-03-11 13:42:37.589 [info] Got 1 sessions for ...
2026-03-11 13:42:37.591 [info] Getting sessions for all scopes...
2026-03-11 13:42:37.591 [info] Got 1 sessions for ...
2026-03-11 13:42:38.822 [info] Getting sessions for all scopes...
2026-03-11 13:42:38.822 [info] Got 1 sessions for ...
2026-03-11 13:42:38.823 [info] Getting sessions for all scopes...
2026-03-11 13:42:38.823 [info] Got 1 sessions for ...
2026-03-11 13:42:40.200 [info] Getting sessions for all scopes...
2026-03-11 13:42:40.200 [info] Got 1 sessions for ...
2026-03-11 13:42:40.201 [info] Getting sessions for all scopes...
2026-03-11 13:42:40.201 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Reading sessions from keychain...
2026-03-11 13:42:54.240 [info] Got stored sessions!
2026-03-11 13:42:54.240 [info] Got 1 verified sessions.
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Getting sessions for user:email...
2026-03-11 13:42:54.240 [info] Got 0 sessions for user:email...
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.240 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.240 [info] Got 1 sessions for ...
2026-03-11 13:42:54.247 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:54.247 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:54.534 [info] Getting sessions for user:email...
2026-03-11 13:42:54.534 [info] Got 0 sessions for user:email...
2026-03-11 13:42:54.713 [info] Getting sessions for read:user,repo,user:email...
2026-03-11 13:42:54.713 [info] Got 0 sessions for read:user,repo,user:email...
2026-03-11 13:42:54.776 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.776 [info] Got 1 sessions for ...
2026-03-11 13:42:54.814 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:54.814 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:54.976 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.976 [info] Got 1 sessions for ...
2026-03-11 13:42:54.979 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.979 [info] Got 1 sessions for ...
2026-03-11 13:42:54.979 [info] Getting sessions for all scopes...
2026-03-11 13:42:54.980 [info] Got 1 sessions for ...
2026-03-11 13:42:55.465 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:55.465 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:56.283 [info] Getting sessions for all scopes...
2026-03-11 13:42:56.283 [info] Got 1 sessions for ...
2026-03-11 13:42:56.283 [info] Getting sessions for all scopes...
2026-03-11 13:42:56.283 [info] Got 1 sessions for ...
2026-03-11 13:42:56.304 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:56.304 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:56.361 [info] Getting sessions for all scopes...
2026-03-11 13:42:56.361 [info] Got 1 sessions for ...
2026-03-11 13:42:56.361 [info] Getting sessions for all scopes...
2026-03-11 13:42:56.361 [info] Got 1 sessions for ...
2026-03-11 13:42:56.366 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:56.366 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:56.448 [info] Getting sessions for all scopes...
2026-03-11 13:42:56.448 [info] Got 1 sessions for ...
2026-03-11 13:42:56.449 [info] Getting sessions for all scopes...
2026-03-11 13:42:56.450 [info] Got 1 sessions for ...
2026-03-11 13:42:57.299 [info] Getting sessions for all scopes...
2026-03-11 13:42:57.299 [info] Got 1 sessions for ...
2026-03-11 13:42:57.323 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:57.323 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:42:57.518 [info] FetcherService: Electron fetch failed with status: 429 
2026-03-11 13:42:57.524 [info] Unable to resolve optional EDU details. Status: 429 
2026-03-11 13:43:00.873 [info] Getting sessions for all scopes...
2026-03-11 13:43:00.873 [info] Got 1 sessions for ...
2026-03-11 13:43:00.874 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:43:00.874 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:43:02.137 [info] Getting sessions for all scopes...
2026-03-11 13:43:02.137 [info] Got 1 sessions for ...
2026-03-11 13:43:02.139 [info] Getting sessions for all scopes...
2026-03-11 13:43:02.139 [info] Got 1 sessions for ...
2026-03-11 13:49:07.217 [info] Getting sessions for all scopes...
2026-03-11 13:49:07.217 [info] Got 1 sessions for ...
2026-03-11 13:49:07.219 [info] Getting sessions for all scopes...
2026-03-11 13:49:07.219 [info] Got 1 sessions for ...
2026-03-11 13:49:08.146 [info] Getting sessions for all scopes...
2026-03-11 13:49:08.146 [info] Got 1 sessions for ...
2026-03-11 13:49:08.148 [info] Getting sessions for all scopes...
2026-03-11 13:49:08.148 [info] Got 1 sessions for ...
2026-03-11 13:49:49.063 [info] Getting sessions for all scopes...
2026-03-11 13:49:49.063 [info] Got 1 sessions for ...
2026-03-11 13:49:49.069 [info] Getting sessions for all scopes...
2026-03-11 13:49:49.069 [info] Got 1 sessions for ...
2026-03-11 13:51:07.508 [info] Getting sessions for all scopes...
2026-03-11 13:51:07.508 [info] Got 1 sessions for ...
2026-03-11 13:51:07.510 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:51:07.510 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:51:15.198 [info] Getting sessions for all scopes...
2026-03-11 13:51:15.198 [info] Got 1 sessions for ...
2026-03-11 13:51:15.200 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:51:15.200 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:40.808 [info] Reading sessions from keychain...
2026-03-11 13:52:40.809 [info] Getting sessions for all scopes...
2026-03-11 13:52:40.809 [info] Got stored sessions!
2026-03-11 13:52:40.809 [info] Got 1 verified sessions.
2026-03-11 13:52:40.809 [info] Got 1 sessions for ...
2026-03-11 13:52:40.809 [info] Getting sessions for all scopes...
2026-03-11 13:52:40.809 [info] Got 1 sessions for ...
2026-03-11 13:52:40.809 [info] Getting sessions for all scopes...
2026-03-11 13:52:40.809 [info] Got 1 sessions for ...
2026-03-11 13:52:40.809 [info] Getting sessions for all scopes...
2026-03-11 13:52:40.809 [info] Got 1 sessions for ...
2026-03-11 13:52:40.809 [info] Getting sessions for all scopes...
2026-03-11 13:52:40.809 [info] Got 1 sessions for ...
2026-03-11 13:52:40.809 [info] Getting sessions for all scopes...
2026-03-11 13:52:40.809 [info] Got 1 sessions for ...
2026-03-11 13:52:40.809 [info] Getting sessions for user:email...
2026-03-11 13:52:40.809 [info] Got 0 sessions for user:email...
2026-03-11 13:52:40.914 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:40.914 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:41.509 [info] Getting sessions for user:email...
2026-03-11 13:52:41.509 [info] Got 0 sessions for user:email...
2026-03-11 13:52:41.682 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:41.682 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:41.927 [info] Getting sessions for all scopes...
2026-03-11 13:52:41.927 [info] Got 1 sessions for ...
2026-03-11 13:52:41.927 [info] Getting sessions for all scopes...
2026-03-11 13:52:41.927 [info] Got 1 sessions for ...
2026-03-11 13:52:41.927 [info] Getting sessions for all scopes...
2026-03-11 13:52:41.927 [info] Got 1 sessions for ...
2026-03-11 13:52:41.979 [info] Getting sessions for all scopes...
2026-03-11 13:52:41.979 [info] Got 1 sessions for ...
2026-03-11 13:52:42.588 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:42.589 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:43.131 [info] FetcherService: Electron fetch failed with status: 429 
2026-03-11 13:52:43.134 [info] Unable to resolve optional EDU details. Status: 429 
2026-03-11 13:52:43.681 [info] Getting sessions for read:user,repo,user:email...
2026-03-11 13:52:43.681 [info] Got 0 sessions for read:user,repo,user:email...
2026-03-11 13:52:43.922 [info] Getting sessions for read:user,repo,user:email...
2026-03-11 13:52:43.922 [info] Got 0 sessions for read:user,repo,user:email...
2026-03-11 13:52:44.201 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.201 [info] Got 1 sessions for ...
2026-03-11 13:52:44.202 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.202 [info] Got 1 sessions for ...
2026-03-11 13:52:44.246 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.247 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.432 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.432 [info] Got 1 sessions for ...
2026-03-11 13:52:44.432 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.432 [info] Got 1 sessions for ...
2026-03-11 13:52:44.466 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.466 [info] Got 1 sessions for ...
2026-03-11 13:52:44.470 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.470 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.472 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.472 [info] Got 1 sessions for ...
2026-03-11 13:52:44.514 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.514 [info] Got 1 sessions for ...
2026-03-11 13:52:44.520 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.520 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.856 [info] Getting sessions for all scopes...
2026-03-11 13:52:44.856 [info] Got 1 sessions for ...
2026-03-11 13:52:44.859 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:52:44.859 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:53:04.274 [info] Getting sessions for all scopes...
2026-03-11 13:53:04.274 [info] Got 1 sessions for ...
2026-03-11 13:53:04.478 [info] Getting sessions for all scopes...
2026-03-11 13:53:04.478 [info] Got 1 sessions for ...
2026-03-11 13:53:37.540 [info] Getting sessions for all scopes...
2026-03-11 13:53:37.540 [info] Got 1 sessions for ...
2026-03-11 13:53:37.551 [info] Getting sessions for all scopes...
2026-03-11 13:53:37.551 [info] Got 1 sessions for ...
